Date,Time,Transaction ID,Type,Customer Name,Item Name,Size,Category,Payment Method,Gross Sales,Discounts,Net Sales,Tax,Tip,Total Collected,Fees,Net Total
2025-01-01,07:32:16,TXN-6042,Sale,Jamie L.,White Mocha,12 oz,coffee,Credit Card,5.75,0.00,5.75,0.52,0.72,6.99,0.32,6.67
2025-01-01,07:37:44,TXN-6088,Sale,Drew V.,White Mocha,12 oz,coffee,Cash,5.75,0.00,5.75,0.52,0.00,6.27,0.00,6.27
2025-01-01,07:45:04,TXN-6006,Sale,Jordan H.,Earl Gray Latte,12 oz,tea,Credit Card,5.00,0.00,5.00,0.46,1.18,6.64,0.32,6.32
2025-01-01,07:55:26,TXN-6051,Sale,Jamie F.,Chamomile Tea,12 oz,tea,Cash,4.00,0.00,4.00,0.36,0.00,4.36,0.00,4.36
2025-01-01,08:07:36,TXN-6085,Sale,Reese Y.,Matcha Latte,12 oz,tea,Cash,6.00,0.00,6.00,0.55,0.00,6.55,0.00,6.55
2025-01-01,08:13:29,TXN-6082,Sale,Robin I.,Caramel Brulee Latte,12 oz,seasonal drink,Credit Card,6.25,0.00,6.25,0.57,0.68,7.50,0.34,7.16
2025-01-01,08:13:59,TXN-6023,Sale,Drew M.,Americano,16 oz,coffee,Credit Card,4.00,0.00,4.00,0.36,0.52,4.88,0.27,4.61
2025-01-01,08:15:48,TXN-6094,Sale,Alex P.,Tiramisu Affogato,16 oz,seasonal drink,Credit Card,6.50,0.00,6.50,0.59,0.77,7.86,0.35,7.51
2025-01-01,08:23:40,TXN-6091,Sale,Casey N.,Earl Gray Loose Leaf Tea,12 oz,tea,Cash,4.00,0.00,4.00,0.36,0.00,4.36,0.00,4.36
2025-01-01,08:29:58,TXN-6080,Sale,Quinn S.,Caramel Brulee Latte,16 oz,seasonal drink,Credit Card,6.75,0.00,6.75,0.62,1.23,8.60,0.36,8.24
2025-01-01,08:35:34,TXN-6012,Sale,Quinn L.,Americano,12 oz,coffee,Credit Card,3.50,0.00,3.50,0.32,0.00,3.82,0.25,3.57
2025-01-01,08:42:58,TXN-6061,Sale,Drew Q.,Toasted Marshmallow Latte,12 oz,seasonal drink,Credit Card,6.00,0.00,6.00,0.55,0.00,6.55,0.31,6.24
2025-01-01,08:43:13,TXN-6065,Sale,Riley V.,Dark Mocha,16 oz,coffee,Credit Card,6.25,0.00,6.25,0.57,0.00,6.82,0.32,6.50
2025-01-01,08:43:27,TXN-6014,Sale,Skyler Q.,White Mocha,16 oz,coffee,Apple Pay,6.25,0.00,6.25,0.57,2.50,9.32,0.38,8.94
2025-01-01,08:43:55,TXN-6038,Sale,Jamie S.,Earl Gray Loose Leaf Tea,12 oz,tea,Credit Card,4.00,0.00,4.00,0.36,0.00,4.36,0.26,4.10
2025-01-01,08:44:59,TXN-6008,Sale,Jamie F.,Dark Mocha,12 oz,coffee,Apple Pay,5.75,1.13,4.62,0.42,1.85,6.89,0.32,6.57
2025-01-01,08:56:48,TXN-6077,Sale,Drew Y.,Tiramisu Affogato,12 oz,seasonal drink,Apple Pay,6.00,0.00,6.00,0.55,0.00,6.55,0.31,6.24
2025-01-01,08:57:53,TXN-6078,Sale,Kai H.,Peppermint Mocha,12 oz,seasonal drink,Credit Card,5.75,0.00,5.75,0.52,0.75,7.02,0.33,6.69
2025-01-01,08:59:04,TXN-6031,Sale,Sam U.,Dark Mocha,16 oz,coffee,Credit Card,6.25,0.00,6.25,0.57,0.56,7.38,0.33,7.05
2025-01-01,09:02:01,TXN-6001,Sale,Cameron G.,Chamomile Tea,12 oz,tea,Credit Card,4.00,0.00,4.00,0.36,0.55,4.91,0.27,4.64
2025-01-01,09:02:55,TXN-6026,Sale,Rowan G.,Earl Gray Latte,16 oz,tea,Credit Card,5.50,0.00,5.50,0.50,0.39,6.39,0.31,6.08
2025-01-01,09:06:47,TXN-6045,Sale,Avery G.,Latte,16 oz,coffee,Apple Pay,6.25,0.00,6.25,0.57,0.86,7.68,0.34,7.34
2025-01-01,09:07:59,TXN-6005,Sale,Kai L.,Dark Mocha,12 oz,coffee,Credit Card,5.75,0.00,5.75,0.52,0.00,6.27,0.31,5.96
2025-01-01,09:15:44,TXN-6097,Sale,Alex C.,Dark Mocha,12 oz,coffee,Credit Card,5.75,0.00,5.75,0.52,0.38,6.65,0.32,6.33
2025-01-01,09:16:11,TXN-6058,Sale,Kai N.,Earl Gray Loose Leaf Tea,16 oz,tea,Apple Pay,4.50,0.00,4.50,0.41,0.77,5.68,0.29,5.39
2025-01-01,09:17:27,TXN-6079,Sale,Quinn X.,Tiramisu Affogato,16 oz,seasonal drink,Credit Card,6.50,0.00,6.50,0.59,0.00,7.09,0.33,6.76
2025-01-01,09:17:59,TXN-6009,Sale,Sam H.,Chamomile Tea,12 oz,tea,Apple Pay,4.00,0.00,4.00,0.36,0.00,4.36,0.26,4.10
2025-01-01,09:23:56,TXN-6020,Sale,Jamie B.,Earl Gray Loose Leaf Tea,16 oz,tea,Cash,4.50,0.00,4.50,0.41,0.00,4.91,0.00,4.91
2025-01-01,09:24:16,TXN-6034,Sale,Drew N.,Toasted Marshmallow Latte,16 oz,seasonal drink,Cash,6.50,0.00,6.50,0.59,0.00,7.09,0.00,7.09
2025-01-01,09:24:17,TXN-6007,Sale,Parker G.,White Mocha,16 oz,coffee,Credit Card,6.25,0.00,6.25,0.57,0.37,7.19,0.33,6.86
2025-01-01,09:26:20,TXN-6062,Sale,Robin V.,Latte,16 oz,coffee,Credit Card,6.25,0.00,6.25,0.57,0.79,7.61,0.34,7.27
2025-01-01,09:28:53,TXN-6043,Sale,Elliot A.,Americano,16 oz,coffee,Credit Card,4.00,0.00,4.00,0.36,0.00,4.36,0.26,4.10
2025-01-01,09:29:42,TXN-6071,Sale,Skyler T.,Caramel Brulee Latte,16 oz,seasonal drink,Credit Card,6.75,0.00,6.75,0.62,1.51,8.88,0.37,8.51
2025-01-01,09:36:05,TXN-6021,Sale,Cameron Y.,Americano,16 oz,coffee,Credit Card,4.00,0.00,4.00,0.36,1.01,5.37,0.28,5.09
2025-01-01,09:38:38,TXN-6086,Sale,Riley J.,Earl Gray Loose Leaf Tea,16 oz,tea,Cash,4.50,0.00,4.50,0.41,0.00,4.91,0.00,4.91
2025-01-01,09:39:05,TXN-6039,Sale,Reese G.,Latte,12 oz,coffee,Credit Card,5.75,0.00,5.75,0.52,0.93,7.20,0.33,6.87
2025-01-01,09:44:33,TXN-6070,Sale,Taylor O.,Dark Mocha,16 oz,coffee,Credit Card,6.25,0.00,6.25,0.57,0.00,6.82,0.32,6.50
2025-01-01,09:46:56,TXN-6017,Sale,Elliot D.,Dark Mocha,12 oz,coffee,Apple Pay,5.75,0.00,5.75,0.52,0.00,6.27,0.31,5.96
2025-01-01,09:46:59,TXN-6027,Sale,Jamie Z.,Earl Gray Loose Leaf Tea,16 oz,tea,Cash,4.50,0.00,4.50,0.41,0.00,4.91,0.00,4.91
2025-01-01,09:50:20,TXN-6059,Sale,Hayden G.,Caramel Brulee Latte,16 oz,seasonal drink,Credit Card,6.75,0.00,6.75,0.62,1.16,8.53,0.36,8.17
2025-01-01,09:54:33,TXN-6037,Sale,Riley C.,Earl Gray Latte,12 oz,tea,Credit Card,5.00,0.00,5.00,0.46,0.81,6.27,0.31,5.96
2025-01-01,10:01:05,TXN-6081,Sale,Sam I.,Matcha Latte,12 oz,tea,Apple Pay,6.00,0.00,6.00,0.55,1.25,7.80,0.34,7.46
2025-01-01,10:06:22,TXN-6004,Sale,Sam X.,Dark Mocha,12 oz,coffee,Cash,5.75,0.00,5.75,0.52,0.00,6.27,0.00,6.27
2025-01-01,10:08:32,TXN-6013,Sale,Casey U.,Caramel Brulee Latte,16 oz,seasonal drink,Credit Card,6.75,0.00,6.75,0.62,0.00,7.37,0.33,7.04
2025-01-01,10:09:14,TXN-6075,Sale,Robin N.,Tiramisu Affogato,16 oz,seasonal drink,Credit Card,6.50,0.00,6.50,0.59,0.46,7.55,0.34,7.21
2025-01-01,10:15:12,TXN-6084,Sale,Jamie E.,Caramel Brulee Latte,16 oz,seasonal drink,Cash,6.75,0.00,6.75,0.62,0.00,7.37,0.00,7.37
2025-01-01,10:21:17,TXN-6056,Sale,Reese L.,Caramel Brulee Latte,16 oz,seasonal drink,Cash,6.75,0.00,6.75,0.62,0.00,7.37,0.00,7.37
2025-01-01,10:23:04,TXN-6090,Sale,Rowan D.,Latte,16 oz,coffee,Credit Card,6.25,0.00,6.25,0.57,0.00,6.82,0.32,6.50
2025-01-01,10:25:43,TXN-6057,Sale,Alex D.,Toasted Marshmallow Latte,16 oz,seasonal drink,Cash,6.50,0.00,6.50,0.59,0.00,7.09,0.00,7.09
2025-01-01,10:29:26,TXN-6076,Sale,Hayden W.,Caramel Brulee Latte,12 oz,seasonal drink,Credit Card,6.25,0.00,6.25,0.57,0.29,7.11,0.33,6.78
2025-01-01,10:30:13,TXN-6033,Sale,Riley M.,Toasted Marshmallow Latte,16 oz,seasonal drink,Cash,6.50,0.00,6.50,0.59,0.00,7.09,0.00,7.09
2025-01-01,10:32:42,TXN-6066,Sale,Jamie V.,White Mocha,16 oz,coffee,Apple Pay,6.25,0.00,6.25,0.57,0.00,6.82,0.32,6.50
2025-01-01,10:33:41,TXN-6092,Sale,Rowan O.,Chamomile Tea,12 oz,tea,Credit Card,4.00,0.00,4.00,0.36,1.60,5.96,0.30,5.66
2025-01-01,10:35:55,TXN-6015,Sale,Taylor V.,Tiramisu Affogato,16 oz,seasonal drink,Cash,6.50,0.00,6.50,0.59,0.00,7.09,0.00,7.09
2025-01-01,10:37:35,TXN-6025,Sale,Sam H.,White Mocha,16 oz,coffee,Credit Card,6.25,0.00,6.25,0.57,1.64,8.46,0.36,8.10
2025-01-01,10:42:30,TXN-6022,Sale,Elliot T.,Toasted Marshmallow Latte,12 oz,seasonal drink,Cash,6.00,0.00,6.00,0.55,0.00,6.55,0.00,6.55
2025-01-01,10:45:27,TXN-6060,Sale,Morgan L.,Matcha Latte,12 oz,tea,Credit Card,6.00,0.00,6.00,0.55,0.83,7.38,0.33,7.05
2025-01-01,10:51:12,TXN-6067,Sale,Skyler N.,Peppermint Mocha,16 oz,seasonal drink,Credit Card,6.25,1.11,5.14,0.47,0.00,5.61,0.29,5.32
2025-01-01,11:00:19,TXN-6064,Sale,Avery O.,Chamomile Tea,16 oz,tea,Credit Card,4.50,0.00,4.50,0.41,0.94,5.85,0.30,5.55
2025-01-01,11:01:59,TXN-6087,Sale,Quinn W.,Americano,12 oz,coffee,Credit Card,3.50,0.00,3.50,0.32,0.00,3.82,0.25,3.57
2025-01-01,11:11:31,TXN-6095,Sale,Kai W.,White Mocha,12 oz,coffee,Credit Card,5.75,0.00,5.75,0.52,0.61,6.88,0.32,6.56
2025-01-01,11:23:37,TXN-6049,Sale,Parker Z.,Latte,12 oz,coffee,Apple Pay,5.75,0.00,5.75,0.52,0.44,6.71,0.32,6.39
2025-01-01,11:26:12,TXN-6028,Sale,Robin O.,Earl Gray Loose Leaf Tea,12 oz,tea,Credit Card,4.00,0.00,4.00,0.36,0.48,4.84,0.27,4.57
